ID,Date,Entry,Exit,Mode
00000013,14040207,08:15,17:22,paired
00000013,14040214,08:12,17:28,paired
00000013,14040215,17:12,17:12,fallback
00000013,14040216,08:08,17:27,paired
00000013,14040217,08:14,17:15,paired
00000013,14040220,10:06,18:11,paired
00000013,14040221,08:16,17:47,paired
00000013,14040223,08:16,17:44,paired
00000013,14040209,17:47,17:47,fallback
00000013,14040213,10:28,17:31,paired
00000013,14040218,12:26,17:04,paired
00000013,14040222,10:29,10:29,fallback
00000013,14040224,18:00,18:00,fallback
00000013,14040227,18:12,18:12,fallback
00000013,14040228,08:31,17:04,paired
00000013,14040229,18:14,18:14,fallback
00000013,14040230,08:14,17:41,paired
00000013,14040231,10:16,18:07,paired
00000026,14040202,08:17,17:22,paired
00000026,14040203,07:59,15:34,paired
00000026,14040206,08:31,17:25,paired
00000026,14040201,10:17,17:21,paired
00000026,14040207,08:34,17:28,paired
00000026,14040209,08:27,08:27,fallback
00000026,14040210,08:17,17:10,paired
00000026,14040214,08:29,17:09,paired
00000026,14040215,17:12,17:12,fallback
00000026,14040216,08:15,17:24,paired
00000026,14040217,08:18,17:14,paired
00000026,14040218,12:02,17:04,paired
00000026,14040220,18:10,18:10,fallback
00000026,14040221,08:28,17:14,paired
00000026,14040222,18:02,18:02,fallback
00000026,14040223,08:07,17:18,paired
00000026,14040213,08:20,17:31,paired
00000026,14040224,18:00,18:00,fallback
00000026,14040227,09:58,18:09,paired
00000026,14040228,08:10,17:13,paired
00000026,14040229,09:52,18:09,paired
00000026,14040231,10:00,18:06,paired
00000026,14040230,08:15,17:23,paired
00000037,14040202,08:21,13:06,paired
00000037,14040215,10:08,10:08,fallback
00000002,14040202,08:23,17:20,paired
00000002,14040203,08:13,17:13,paired
00000002,14040206,08:10,17:25,paired
00000002,14040201,10:01,10:01,fallback
00000002,14040207,08:18,08:18,fallback
00000002,14040209,08:09,17:41,paired
00000002,14040210,08:15,17:06,paired
00000002,14040214,08:07,08:07,fallback
00000002,14040215,17:08,17:08,fallback
00000002,14040216,08:03,17:12,paired
00000002,14040217,08:06,17:11,paired
00000002,14040218,11:59,17:04,paired
00000002,14040220,11:57,18:10,paired
00000002,14040221,08:14,17:09,paired
00000002,14040222,18:00,18:00,fallback
00000002,14040223,08:13,17:07,paired
00000002,14040208,17:08,17:08,fallback
00000002,14040213,08:18,17:18,paired
00000002,14040224,17:59,17:59,fallback
00000002,14040228,08:16,17:13,paired
00000002,14040229,09:47,18:02,paired
00000002,14040230,08:23,17:41,paired
00000027,14040202,08:31,17:00,paired
00000027,14040203,08:27,17:21,paired
00000027,14040206,08:06,17:24,paired
00000027,14040207,07:54,17:00,paired
00000027,14040201,09:55,17:05,paired
00000027,14040209,08:11,16:56,paired
00000027,14040210,07:58,16:58,paired
00000027,14040213,07:53,07:53,fallback
00000027,14040214,08:49,16:57,paired
00000027,14040216,08:01,17:29,paired
00000027,14040217,08:10,17:08,paired
00000027,14040220,10:03,17:59,paired
00000027,14040221,08:42,17:01,paired
00000027,14040208,16:56,16:56,fallback
00000027,14040215,17:00,17:00,fallback
00000027,14040222,12:01,15:58,paired
00000027,14040227,10:05,18:06,paired
00000027,14040228,07:55,17:07,paired
00000027,14040229,10:09,18:03,paired
00000027,14040230,08:27,17:30,paired
00000027,14040231,10:11,18:02,paired
00000020,14040202,08:31,17:38,paired
00000020,14040203,08:23,18:09,paired
00000020,14040206,08:21,17:24,paired
00000020,14040201,10:08,17:14,paired
00000020,14040207,08:33,17:40,paired
00000020,14040209,08:17,15:56,paired
00000020,14040210,08:22,17:24,paired
00000020,14040213,08:12,08:12,fallback
00000020,14040214,08:29,17:36,paired
00000020,14040215,17:07,17:07,fallback
00000020,14040216,08:27,17:31,paired
00000020,14040217,08:24,17:24,paired
00000020,14040220,10:01,18:07,paired
00000020,14040222,18:02,18:02,fallback
00000020,14040208,17:05,17:05,fallback
00000020,14040223,08:36,16:32,paired
00000020,14040224,17:58,17:58,fallback
00000020,14040227,10:06,18:05,paired
00000020,14040228,08:31,17:47,paired
00000020,14040229,10:53,18:03,paired
00000020,14040230,08:23,18:04,paired
00000020,14040231,10:07,18:05,paired
00000004,14040202,08:31,17:39,paired
00000004,14040203,08:23,17:24,paired
00000004,14040206,08:22,17:24,paired
00000004,14040201,10:08,17:11,paired
00000004,14040207,08:32,17:40,paired
00000004,14040209,11:54,16:28,paired
00000004,14040210,08:22,17:23,paired
00000004,14040214,08:29,17:37,paired
00000004,14040215,10:08,17:05,paired
00000004,14040216,08:27,17:23,paired
00000004,14040217,08:23,17:24,paired
00000004,14040220,10:02,18:04,paired
00000004,14040221,08:27,17:35,paired
00000004,14040222,18:01,18:01,fallback
00000004,14040208,17:06,17:06,fallback
00000004,14040213,08:13,17:25,paired
00000004,14040223,09:25,17:01,paired
00000004,14040224,17:58,17:58,fallback
00000004,14040228,08:29,17:48,paired
00000004,14040229,18:04,18:04,fallback
00000004,14040230,08:24,17:30,paired
00000004,14040231,10:05,18:05,paired
00000004,14040227,10:06,10:06,fallback
00000025,14040202,08:39,17:41,paired
00000025,14040203,08:19,17:39,paired
00000025,14040206,08:35,17:15,paired
00000025,14040201,10:12,17:37,paired
00000025,14040207,08:32,17:46,paired
00000025,14040209,08:18,17:24,paired
00000025,14040214,08:22,17:36,paired
00000025,14040215,10:13,17:15,paired
00000025,14040216,08:24,18:10,paired
00000025,14040217,08:22,17:31,paired
00000025,14040220,10:11,18:09,paired
00000025,14040223,08:19,17:24,paired
00000025,14040208,17:18,17:18,fallback
00000025,14040210,08:23,08:23,fallback
00000025,14040213,08:28,17:18,paired
00000025,14040221,10:11,17:17,paired
00000025,14040228,08:30,17:36,paired
00000025,14040229,10:28,18:49,paired
00000025,14040231,10:12,18:03,paired
00000025,14040227,10:46,16:29,paired
00000025,14040230,09:35,09:35,fallback
00000031,14040202,08:47,17:03,paired
00000031,14040203,11:42,17:15,paired
00000031,14040206,10:30,17:00,paired
00000031,14040207,07:54,16:59,paired
00000031,14040201,09:54,17:05,paired
00000031,14040209,07:45,16:55,paired
00000031,14040213,07:40,17:01,paired
00000031,14040214,07:41,16:55,paired
00000031,14040216,08:00,17:23,paired
00000031,14040217,07:33,17:07,paired
00000031,14040220,10:03,17:59,paired
00000031,14040221,07:46,16:59,paired
00000031,14040222,17:59,17:59,fallback
00000031,14040223,07:58,16:58,paired
00000031,14040208,16:58,16:58,fallback
00000031,14040210,07:51,07:51,fallback
00000031,14040215,17:00,17:00,fallback
00000031,14040224,17:53,17:53,fallback
00000031,14040227,09:45,17:56,paired
00000031,14040228,07:55,16:59,paired
00000031,14040229,09:56,18:01,paired
00000031,14040231,09:42,17:58,paired
00000031,14040230,08:02,17:03,paired
00000024,14040202,09:15,17:28,paired
00000024,14040206,09:29,17:23,paired
00000024,14040201,10:22,17:13,paired
00000024,14040207,08:57,17:23,paired
00000024,14040209,08:02,17:11,paired
00000024,14040210,08:57,17:42,paired
00000024,14040214,08:25,17:33,paired
00000024,14040217,08:48,17:28,paired
00000024,14040220,10:03,18:00,paired
00000024,14040223,08:35,17:24,paired
00000024,14040213,11:44,17:25,paired
00000024,14040215,10:08,17:04,paired
00000024,14040221,10:18,17:11,paired
00000024,14040222,10:18,10:18,fallback
00000024,14040228,08:53,17:35,paired
00000024,14040227,10:29,17:43,paired
00000024,14040230,08:09,17:00,paired
00000010,14040202,10:18,15:41,paired
00000010,14040203,09:10,17:19,paired
00000010,14040206,07:06,17:20,paired
00000010,14040207,07:04,16:26,paired
00000010,14040201,10:43,16:12,paired
00000010,14040209,07:49,16:23,paired
00000010,14040210,08:08,18:42,paired
00000010,14040214,08:07,12:37,paired
00000010,14040216,08:03,16:27,paired
00000010,14040217,08:11,16:48,paired
00000010,14040222,10:46,17:46,paired
00000010,14040223,08:18,16:10,paired
00000010,14040208,06:57,17:12,paired
00000010,14040213,08:13,17:18,paired
00000010,14040215,11:03,16:10,paired
00000010,14040220,10:48,17:05,paired
00000010,14040228,11:37,17:20,paired
00000010,14040229,11:10,18:47,paired
00000010,14040231,11:34,17:50,paired
00000010,14040227,11:18,16:28,paired
00000030,14040203,07:50,16:25,paired
00000030,14040206,07:49,17:00,paired
00000030,14040207,07:50,17:00,paired
00000030,14040201,09:49,17:03,paired
00000030,14040209,07:47,15:34,paired
00000030,14040210,07:48,16:55,paired
00000030,14040213,07:43,14:13,paired
00000030,14040214,16:58,16:58,fallback
00000030,14040216,07:48,17:02,paired
00000030,14040217,07:46,16:31,paired
00000030,14040221,07:50,15:38,paired
00000030,14040222,17:00,17:00,fallback
00000030,14040223,07:50,16:57,paired
00000030,14040208,07:53,16:55,paired
00000030,14040215,16:51,16:51,fallback
00000030,14040220,17:36,17:36,fallback
00000030,14040224,16:58,16:58,fallback
00000030,14040227,09:57,18:03,paired
00000030,14040228,07:51,17:01,paired
00000030,14040229,10:15,17:00,paired
00000030,14040231,10:12,17:01,paired
00000030,14040230,07:52,17:04,paired
00000023,14040203,08:16,17:14,paired
